"","Points","GameDate","Tm","Opp","HW","Actual"
"18039",63.1428571428571,"2020-02-15","merrimack","wagner","2",68
"17819",62.6,"2020-02-13","merrimack","st.francisny","0",60
"17613",62.1052631578947,"2020-02-08","merrimack","liu","0",64
"17298",62.6111111111111,"2020-02-06","merrimack","fairleighdickinson","0",57
"16981",62.1176470588235,"2020-02-01","merrimack","liu","2",70
"16745",62.375,"2020-01-30","merrimack","st.francisny","2",61
"16309",62.2666666666667,"2020-01-23","merrimack","fairleighdickinson","2",74
"16057",62.5714285714286,"2020-01-20","merrimack","saintfrancispa","0",72
"15805",62.3846153846154,"2020-01-18","merrimack","robertmorris","0",53
"15557",62,"2020-01-15","merrimack","bryant","2",71
"14714",63.0909090909091,"2020-01-11","merrimack","centralconnecticut","0",58
"14231",62.5,"2020-01-09","merrimack","mountst.marys","2",64
"13760",63.3333333333333,"2020-01-04","merrimack","robertmorris","2",58
"13313",65.375,"2020-01-02","merrimack","sacredheart","0",65
"13094",65.8571428571429,"2019-12-29","merrimack","bostonuniversity","2",67
"12781",58.5,"2019-12-22","merrimack","ucsb","0",50
"12637",59,"2019-12-11","merrimack","army","2",69
"12516",60.25,"2019-12-04","merrimack","brown","0",55
"12405",60.3333333333333,"2019-11-29","merrimack","akron","0",47
"11774",67.5,"2019-11-24","merrimack","hartford","0",62
"11641",64,"2019-11-22","merrimack","lesley","2",110
"117742",59,"2019-11-17","merrimack","jacksonville","1",54
"124051",46,"2019-11-16","merrimack","umasslowell","0",60
"18451",75.4285714285714,"2020-02-16","rider","quinnipiac","2",79
"18138",75.6041666666667,"2020-02-14","rider","siena","0",64
"17801",75.7234042553192,"2020-02-09","rider","niagara","2",73
"17476",75.5,"2020-02-07","rider","canisius","2",61
"17147",75.6666666666667,"2020-02-02","rider","monmouth","0",84
"16832",75.8181818181818,"2020-01-31","rider","fairfield","2",68
"16569",76.046511627907,"2020-01-26","rider","manhattan","0",67
"16472",76.4047619047619,"2020-01-24","rider","st.peters","2",70
"15971",76.1951219512195,"2020-01-19","rider","canisius","0",86
"15428",77.175,"2020-01-17","rider","niagara","0",68
"15000",77.4615384615385,"2020-01-12","rider","marist","0",69
"14852",77.5526315789474,"2020-01-10","rider","iona","2",66
"14142",77.2432432432432,"2020-01-07","rider","quinnipiac","0",61
"13354",76.9166666666667,"2020-01-05","rider","siena","2",85
"13252",77.0571428571429,"2019-12-31","rider","wisconsin","0",37
"12917",76.7647058823529,"2019-12-21","rider","temple","0",66
"12642",76.9090909090909,"2019-12-16","rider","marist","2",74
"11779",77.59375,"2019-12-14","rider","liu","2",89
"11525",77.4838709677419,"2019-12-03","rider","bucknell","2",89
"10594",77.0333333333333,"2019-11-24","rider","vermont","1",72
"10053",76.8965517241379,"2019-11-23","rider","columbia","1",87
"9757",76.9642857142857,"2019-11-20","rider","umass","0",72
"9109",76.8888888888889,"2019-11-17","rider","arizonastate","0",55
"8800",76.1153846153846,"2019-11-08","rider","delawarestate","0",81
"8476",76.32,"2019-11-05","rider","coppinstate","0",91
"8218",76.125,"2019-03-09","rider","siena","1",81
"8146",75.6086956521739,"2019-03-03","rider","marist","0",75
"7826",76.4545454545455,"2019-03-01","rider","iona","2",79
"7558",76.2857142857143,"2019-02-22","rider","niagara","2",97
"7381",76.8,"2019-02-17","rider","st.peters","0",71
"7128",77.1052631578947,"2019-02-15","rider","monmouth","2",81
"6839",78.1111111111111,"2019-02-12","rider","quinnipiac","0",88
"6533",77.6470588235294,"2019-02-10","rider","siena","2",57
"6030",78.0625,"2019-02-08","rider","canisius","2",80
"5537",79.2666666666667,"2019-02-05","rider","manhattan","0",66
"5217",77.5,"2019-02-02","rider","monmouth","0",71
"4766",77.1538461538462,"2019-01-31","rider","st.peters","2",59
"4535",77.5833333333333,"2019-01-27","rider","marist","2",86
"4274",77.0909090909091,"2019-01-25","rider","iona","0",71
"3974",76.9,"2019-01-19","rider","manhattan","2",60
"3913",76.5555555555556,"2019-01-13","rider","niagara","0",104
"3587",76.875,"2019-01-11","rider","canisius","0",82
"3392",79.5714285714286,"2019-01-05","rider","quinnipiac","2",72
"3196",79.5,"2019-01-03","rider","fairfield","0",83
"3073",81.6,"2018-12-30","rider","vcu","0",79
"2874",81.75,"2018-12-23","rider","calstatenorthridge","1",80
"2032",84.6666666666667,"2018-12-22","rider","northerncolorado","1",74
"1697",88,"2018-12-19","rider","drake","0",58
"1164",87,"2018-12-17","rider","washingtonstate","0",80
"169710",80,"2018-12-12","rider","norfolkstate","2",81
"20321",78,"2018-12-08","rider","hofstra","0",73
"18450",68.4339622641509,"2020-02-15","valparaiso","illinoisstate","0",65
"18095",68.4615384615385,"2020-02-12","valparaiso","southernillinois","2",55
"17753",68.6274509803922,"2020-02-09","valparaiso","loyolail","0",68
"17323",68.28,"2020-02-05","valparaiso","northerniowa","2",51
"17106",68.0816326530612,"2020-02-01","valparaiso","illinoisstate","2",80
"16586",68.125,"2020-01-29","valparaiso","bradley","0",69
"16428",68.5106382978723,"2020-01-26","valparaiso","evansville","2",67
"15927",68.2391304347826,"2020-01-23","valparaiso","missouristate","0",60
"15500",68.3555555555556,"2020-01-18","valparaiso","indianastate","2",86
"15192",68.3636363636364,"2020-01-15","valparaiso","northerniowa","0",78
"14994",67.9302325581395,"2020-01-11","valparaiso","drake","2",66
"14618",68.1904761904762,"2020-01-07","valparaiso","southernillinois","0",50
"14165",67.9756097560976,"2020-01-04","valparaiso","evansville","0",81
"13684",67.7,"2019-12-30","valparaiso","loyolail","2",63
"13446",66.9230769230769,"2019-12-21","valparaiso","arkansas","1",68
"13340",66.6578947368421,"2019-12-18","valparaiso","highpoint","0",87
"13121",66.8648648648649,"2019-12-16","valparaiso","charlotte","0",57
"12669",66.5555555555556,"2019-12-08","valparaiso","centralmichigan","2",77
"12201",66.3428571428571,"2019-12-03","valparaiso","easternmichigan","0",79
"11948",65.6764705882353,"2019-11-27","valparaiso","trinitychristian","2",98
"11573",65.5454545454545,"2019-11-25","valparaiso","cincinnati","1",77
"10424",65.125,"2019-11-24","valparaiso","nevada","1",59
"10370",65.4838709677419,"2019-11-22","valparaiso","grandcanyon","1",78
"9983",65.1,"2019-11-17","valparaiso","northdakota","2",74
"9610",65.1724137931034,"2019-11-12","valparaiso","siuedwardsville","0",89
"9392",66,"2019-11-09","valparaiso","saintlouis","0",70
"8943",66.4814814814815,"2019-11-05","valparaiso","toledo","2",79
"8759",66.9230769230769,"2019-03-08","valparaiso","loyolail","1",54
"8312",66.44,"2019-03-07","valparaiso","indianastate","1",77
"8152",65.7916666666667,"2019-03-02","valparaiso","evansville","2",63
"7572",66.4347826086957,"2019-02-27","valparaiso","bradley","0",42
"7464",66.3181818181818,"2019-02-23","valparaiso","northerniowa","0",53
"6927",66.9523809523809,"2019-02-20","valparaiso","southernillinois","2",55
"6804",67.6,"2019-02-16","valparaiso","drake","0",79
"6377",68.0526315789474,"2019-02-13","valparaiso","indianastate","2",82
"6146",68.8888888888889,"2019-02-10","valparaiso","loyolail","2",51
"5630",68.5294117647059,"2019-02-05","valparaiso","illinoisstate","0",69
"5461",69.4375,"2019-02-02","valparaiso","evansville","0",53
"4983",69.7333333333333,"2019-01-29","valparaiso","missouristate","2",54
"4848",70.3571428571429,"2019-01-26","valparaiso","drake","2",59
"4434",69.4615384615385,"2019-01-23","valparaiso","indianastate","0",53
"4211",70.4166666666667,"2019-01-19","valparaiso","northerniowa","2",75
"3598",68,"2019-01-15","valparaiso","loyolail","0",54
"3387",69.9,"2019-01-12","valparaiso","southernillinois","0",65
"2921",70.8888888888889,"2019-01-08","valparaiso","bradley","2",61
"2543",69.5,"2019-01-05","valparaiso","missouristate","0",82
"2435",71.8571428571429,"2019-01-02","valparaiso","illinoisstate","2",58
"2068",70.1666666666667,"2018-12-29","valparaiso","purduenorthcentral","2",97
"1704",69.8,"2018-12-19","valparaiso","texasam","0",49
"1417",68.25,"2018-12-17","valparaiso","ballstate","2",61
"1057",66,"2018-12-08","valparaiso","georgewashington","0",82
"859",67.5,"2018-12-04","valparaiso","highpoint","2",53
"673",71,"2018-12-02","valparaiso","ucriverside","2",82
"85910",67.3333333333333,"2018-11-24","valparaiso","westvirginia","0",76
"105710",63,"2018-11-21","valparaiso","siuedwardsville","2",75
"18206",72.7647058823529,"2020-02-15","fresnostate","utahstate","2",59
"17917",73.16,"2020-02-12","fresnostate","sanjosestate","0",84
"17527",73.265306122449,"2020-02-08","fresnostate","unlv","0",67
"17179",73.4375,"2020-02-04","fresnostate","coloradostate","2",70
"16542",73.8297872340426,"2020-02-01","fresnostate","newmexico","2",82
"16257",74.0434782608696,"2020-01-28","fresnostate","airforce","0",79
"15984",73.9333333333333,"2020-01-25","fresnostate","boisestate","2",53
"15678",74.4318181818182,"2020-01-22","fresnostate","coloradostate","0",68
"15603",74.8372093023256,"2020-01-18","fresnostate","wyoming","0",65
"15265",74.9761904761905,"2020-01-14","fresnostate","sandiegostate","2",55
"14781",74.4878048780488,"2020-01-07","fresnostate","newmexico","0",64
"14698",74.8,"2020-01-04","fresnostate","sanjosestate","2",79
"14424",75.1025641025641,"2020-01-01","fresnostate","sandiegostate","0",52
"14220",75.2368421052632,"2019-12-28","fresnostate","ucriverside","2",57
"13846",75.1081081081081,"2019-12-23","fresnostate","sanfrancisco","2",69
"12874",75.1944444444444,"2019-12-20","fresnostate","iupui","2",95
"12628",75.6857142857143,"2019-12-14","fresnostate","calpoly","0",62
"12100",75.2058823529412,"2019-12-11","fresnostate","california","0",63
"11969",75.4848484848485,"2019-12-07","fresnostate","utahstate","0",70
"11464",75.4375,"2019-12-04","fresnostate","unlv","2",80
"10964",76.0322580645161,"2019-11-30","fresnostate","calstatenorthridge","0",72
"10868",76.5666666666667,"2019-11-20","fresnostate","saintmarys","1",58
"10495",76.5862068965517,"2019-11-17","fresnostate","calstatesanbernardino","2",92
"10215",75,"2019-11-12","fresnostate","sandiego","0",66
"9552",74.962962962963,"2019-11-10","fresnostate","winthrop","2",77
"9201",75.1153846153846,"2019-11-05","fresnostate","oregon","0",57
"8896",75.4,"2019-03-15","fresnostate","utahstate","1",60
"8601",76,"2019-03-14","fresnostate","airforce","1",76
"8273",75.7826086956522,"2019-03-09","fresnostate","sanjosestate","2",121
"7943",76.2727272727273,"2019-03-06","fresnostate","sandiegostate","0",76
"7549",75.9523809523809,"2019-02-27","fresnostate","wyoming","2",71
"7249",75.7,"2019-02-23","fresnostate","nevada","0",68
"6967",75.3684210526316,"2019-02-20","fresnostate","airforce","2",61
"6608",75.3888888888889,"2019-02-16","fresnostate","newmexico","0",81
"6271",76,"2019-02-13","fresnostate","boisestate","2",65
"5963",76.625,"2019-02-09","fresnostate","unlv","0",83
"5283",77.5333333333333,"2019-02-05","fresnostate","utahstate","2",81
"5020",78.5,"2019-02-02","fresnostate","newmexico","2",82
"4646",78.5384615384615,"2019-01-30","fresnostate","wyoming","0",75
"4356",78.5833333333333,"2019-01-26","fresnostate","coloradostate","0",65
"4101",79.0909090909091,"2019-01-22","fresnostate","sandiegostate","2",66
"3815",81,"2019-01-19","fresnostate","boisestate","0",63
"3532",79.6666666666667,"2019-01-12","fresnostate","nevada","2",64
"2770",77.75,"2019-01-09","fresnostate","utahstate","0",78
"2583",75.7142857142857,"2019-01-05","fresnostate","coloradostate","2",78
"2217",76.5,"2019-01-02","fresnostate","sanjosestate","0",73
"1971",76.6,"2018-12-29","fresnostate","utahvalley","2",60
"1764",75.5,"2018-12-22","fresnostate","utmartin","2",93
"1495",74.3333333333333,"2018-12-19","fresnostate","california","2",95
"1453",73.5,"2018-12-08","fresnostate","longbeachstate","2",92
"660",69,"2018-12-05","fresnostate","weberstate","2",71
"145310",77.6666666666667,"2018-11-28","fresnostate","pacific","2",81
"149510",76,"2018-11-25","fresnostate","hawaii","1",79
"17964",74.0961538461538,"2020-02-15","setonhall","providence","0",71
"17702",74.1176470588235,"2020-02-12","setonhall","creighton","2",82
"17291",73.96,"2020-02-08","setonhall","villanova","0",70
"17057",73.8775510204082,"2020-02-05","setonhall","georgetown","0",78
"16682",73.9791666666667,"2020-02-01","setonhall","xavier","2",62
"16179",73.7872340425532,"2020-01-29","setonhall","depaul","2",64
"15917",73.695652173913,"2020-01-22","setonhall","providence","2",73
"15562",73.6888888888889,"2020-01-18","setonhall","st.johnsny","0",82
"15225",73.6590909090909,"2020-01-15","setonhall","butler","0",78
"14899",74.1627906976744,"2020-01-11","setonhall","marquette","2",69
"14610",74.7857142857143,"2020-01-08","setonhall","xavier","0",83
"13780",75,"2020-01-03","setonhall","georgetown","2",78
"13719",74.775,"2019-12-30","setonhall","depaul","0",74
"13650",74.6153846153846,"2019-12-22","setonhall","prairieview","2",75
"13258",74.7631578947368,"2019-12-19","setonhall","maryland","2",52
"12664",74.4324324324324,"2019-12-14","setonhall","rutgers","0",48
"12342",74.1944444444444,"2019-12-08","setonhall","iowastate","0",66
"11914",74.2285714285714,"2019-11-29","setonhall","iowastate","1",84
"11550",74.2352941176471,"2019-11-28","setonhall","southernmiss","1",81
"11180",73.3030303030303,"2019-11-27","setonhall","oregon","1",69
"11067",73.46875,"2019-11-23","setonhall","floridaam","2",87
"11006",73.5161290322581,"2019-11-17","setonhall","saintlouis","0",83
"10881",73.2666666666667,"2019-11-14","setonhall","michiganstate","2",73
"10589",73.2758620689655,"2019-11-09","setonhall","stonybrook","2",74
"10246",73.0714285714286,"2019-11-05","setonhall","wagner","2",105
"9968",73.0740740740741,"2019-03-21","setonhall","wofford","1",68
"9285",73.1538461538462,"2019-03-16","setonhall","villanova","1",72
"8937",73.28,"2019-03-15","setonhall","marquette","1",81
"8797",73.4583333333333,"2019-03-14","setonhall","georgetown","1",73
"8288",73.1304347826087,"2019-03-09","setonhall","villanova","2",79
"8036",72.3636363636364,"2019-03-06","setonhall","marquette","2",73
"7382",72.8095238095238,"2019-03-02","setonhall","georgetown","0",71
"7026",73.05,"2019-02-23","setonhall","st.johnsny","0",70
"6852",73.4736842105263,"2019-02-20","setonhall","xavier","2",69
"6046",74.6666666666667,"2019-02-17","setonhall","creighton","0",81
"5611",73.5882352941177,"2019-02-13","setonhall","georgetown","2",90
"5490",74.25,"2019-02-09","setonhall","creighton","2",63
"5050",74.8,"2019-02-02","setonhall","butler","0",68
"4899",74.7142857142857,"2019-01-30","setonhall","providence","2",65
"4384",74.7692307692308,"2019-01-27","setonhall","villanova","0",52
"4167",74.3333333333333,"2019-01-19","setonhall","depaul","2",93
"3933",74.1818181818182,"2019-01-15","setonhall","providence","0",63
"3567",73.8,"2019-01-12","setonhall","marquette","0",66
"3263",72,"2019-01-09","setonhall","butler","2",76
"2881",72,"2019-01-06","setonhall","depaul","0",74
"2531",70.2857142857143,"2019-01-02","setonhall","xavier","0",80
"2362",69.1666666666667,"2018-12-29","setonhall","st.johnsny","2",76
"1796",70,"2018-12-22","setonhall","maryland","0",78
"1556",66.75,"2018-12-19","setonhall","sacredheart","2",90
"1443",67.6666666666667,"2018-12-15","setonhall","rutgers","2",72
"938",60.5,"2018-12-08","setonhall","kentucky","1",84
"614",57,"2018-12-04","setonhall","newhampshire","2",77
"93810",70,"2018-11-25","setonhall","miamifl","1",83
"144310",82,"2018-11-23","setonhall","hawaii","1",64
"17874",72.7358490566038,"2020-02-16","sandiegostate","boisestate","0",72
"17671",72.75,"2020-02-11","sandiegostate","newmexico","2",82
"17199",72.843137254902,"2020-02-08","sandiegostate","airforce","0",89
"17039",73.02,"2020-02-01","sandiegostate","utahstate","2",80
"16680",72.8163265306122,"2020-01-29","sandiegostate","newmexico","0",85
"16353",72.8333333333333,"2020-01-26","sandiegostate","unlv","0",71
"15992",72.7446808510638,"2020-01-21","sandiegostate","wyoming","2",72
"15705",73,"2020-01-18","sandiegostate","nevada","2",68
"15432",73,"2020-01-14","sandiegostate","fresnostate","0",64
"15175",72.8409090909091,"2020-01-11","sandiegostate","boisestate","2",83
"14608",72.3953488372093,"2020-01-08","sandiegostate","wyoming","0",72
"14259",72.7142857142857,"2020-01-04","sandiegostate","utahstate","0",77
"13798",72.5609756097561,"2020-01-01","sandiegostate","fresnostate","2",61
"13715",72.3,"2019-12-28","sandiegostate","calpoly","2",73
"13456",72.025641025641,"2019-12-21","sandiegostate","utah","1",80
"13097",72.2894736842105,"2019-12-18","sandiegostate","sandiegochristian","2",92
"12902",72.054054054054,"2019-12-08","sandiegostate","sanjosestate","2",59
"12277",72.2222222222222,"2019-12-04","sandiegostate","coloradostate","0",79
"11906",71.8285714285714,"2019-11-29","sandiegostate","iowa","1",83
"11542",71.7058823529412,"2019-11-28","sandiegostate","creighton","1",83
"11066",71.5454545454545,"2019-11-25","sandiegostate","tennesseestate","2",62
"10965",72,"2019-11-22","sandiegostate","liu","2",81
"10915",72.2258064516129,"2019-11-20","sandiegostate","sandiego","0",66
"10581",72.5333333333333,"2019-11-13","sandiegostate","grandcanyon","2",86
"10259",73.2068965517241,"2019-11-09","sandiegostate","byu","0",76
"9961",73.1785714285714,"2019-11-05","sandiegostate","texassouthern","2",77
"9511",72.7777777777778,"2019-03-16","sandiegostate","utahstate","1",57
"9370",73.5,"2019-03-15","sandiegostate","nevada","1",65
"8952",74.04,"2019-03-14","sandiegostate","unlv","1",63
"8701",74.4166666666667,"2019-03-09","sandiegostate","nevada","0",53
"8225",74.5652173913043,"2019-03-06","sandiegostate","fresnostate","2",74
"8006",74.7272727272727,"2019-03-02","sandiegostate","sanjosestate","2",84
"7573",75.0476190476191,"2019-02-26","sandiegostate","utahstate","0",54
"7374",75.3,"2019-02-23","sandiegostate","unlv","0",60
"6976",75.7368421052632,"2019-02-20","sandiegostate","nevada","2",65
"6728",76.2777777777778,"2019-02-16","sandiegostate","boisestate","2",71
"6283",75.2352941176471,"2019-02-12","sandiegostate","coloradostate","0",71
"5628",76.0625,"2019-02-09","sandiegostate","utahstate","2",68
"5417",74.6666666666667,"2019-02-05","sandiegostate","newmexico","0",70
"4972",76.5714285714286,"2019-02-02","sandiegostate","sanjosestate","0",67
"4786",76,"2019-01-30","sandiegostate","airforce","2",66
"4343",77,"2019-01-26","sandiegostate","unlv","2",94
"4159",78.0909090909091,"2019-01-22","sandiegostate","fresnostate","0",62
"3925",79.8,"2019-01-15","sandiegostate","newmexico","2",97
"3055",78.6666666666667,"2019-01-12","sandiegostate","airforce","0",48
"2879",76.125,"2019-01-08","sandiegostate","wyoming","2",84
"2629",75.1428571428571,"2019-01-05","sandiegostate","boisestate","0",64
"2354",77.5,"2019-01-01","sandiegostate","calstatenorthridge","2",65
"1915",78,"2018-12-29","sandiegostate","brown","2",61
"1392",75.75,"2018-12-22","sandiegostate","byu","2",90
"1239",82,"2018-12-12","sandiegostate","calstdominguezhills","2",99
"1165",83.5,"2018-12-08","sandiegostate","california","0",83
"613",103,"2018-12-05","sandiegostate","sandiego","2",61
"116510",66.6666666666667,"2018-11-27","sandiegostate","jacksonstate","2",87
"123910",79,"2018-11-21","sandiegostate","iowastate","1",57
"18140",68.2727272727273,"2020-02-15","alabamabirmingham","middletennessee","0",79
"18008",68.462962962963,"2020-02-12","alabamabirmingham","middletennessee","2",83
"17483",68.3018867924528,"2020-02-08","alabamabirmingham","northtexas","2",64
"17341",68.3076923076923,"2020-02-06","alabamabirmingham","rice","2",72
"16834",68.3137254901961,"2020-02-01","alabamabirmingham","utep","0",69
"16702",68.46,"2020-01-30","alabamabirmingham","utsa","0",76
"16188",68.3877551020408,"2020-01-25","alabamabirmingham","louisianatech","2",58
"16005",68.7291666666667,"2020-01-23","alabamabirmingham","southernmiss","2",77
"15633",69.2553191489362,"2020-01-18","alabamabirmingham","floridaatlantic","0",68
"15523",68.9782608695652,"2020-01-16","alabamabirmingham","floridainternational","0",68
"15297",68.8,"2020-01-11","alabamabirmingham","marshall","2",61
"15015",68.75,"2020-01-09","alabamabirmingham","westernkentucky","2",72
"14759",68.8837209302326,"2020-01-04","alabamabirmingham","olddominion","0",52
"14361",68.7380952380952,"2020-01-02","alabamabirmingham","charlotte","0",44
"14058",69.0243902439024,"2019-12-28","alabamabirmingham","thomasuniversity","2",82
"13735",69.325,"2019-12-22","alabamabirmingham","duquesne","1",77
"13466",69.6153846153846,"2019-12-21","alabamabirmingham","alabamastate","1",71
"12853",69.9473684210526,"2019-12-17","alabamabirmingham","northalabama","2",63
"12348",70.2702702702703,"2019-12-14","alabamabirmingham","montevallo","2",75
"12027",70.6944444444444,"2019-12-07","alabamabirmingham","memphis","2",57
"11677",70.6,"2019-12-03","alabamabirmingham","texas","0",57
"11132",70.4411764705882,"2019-11-29","alabamabirmingham","kentucky","0",58
"10948",70.2121212121212,"2019-11-26","alabamabirmingham","lamar","2",57
"10828",70.5625,"2019-11-20","alabamabirmingham","mountst.marys","2",58
"10756",70.0967741935484,"2019-11-15","alabamabirmingham","utahvalley","2",55
"10437",70.1,"2019-11-11","alabamabirmingham","alabamaam","2",74
"10038",70.3103448275862,"2019-11-07","alabamabirmingham","troy","0",76
"9615",70.3214285714286,"2019-03-20","alabamabirmingham","brown","0",78
"9111",70.4444444444444,"2019-03-15","alabamabirmingham","olddominion","1",59
"8487",70.2307692307692,"2019-03-14","alabamabirmingham","utsa","1",85
"8350",70.32,"2019-03-13","alabamabirmingham","middletennessee","1",70
"7835",70.0416666666667,"2019-03-09","alabamabirmingham","olddominion","2",64
"7677",70.3913043478261,"2019-03-03","alabamabirmingham","utsa","0",70
"7183",70.9090909090909,"2019-02-28","alabamabirmingham","westernkentucky","2",67
"6931",70.5714285714286,"2019-02-23","alabamabirmingham","southernmiss","0",76
"6547",70.85,"2019-02-16","alabamabirmingham","westernkentucky","0",68
"6380",69.8947368421053,"2019-02-14","alabamabirmingham","marshall","0",77
"5865",70.8888888888889,"2019-02-09","alabamabirmingham","charlotte","2",62
"5736",70.1764705882353,"2019-02-07","alabamabirmingham","olddominion","2",59
"5227",69.8125,"2019-02-02","alabamabirmingham","middletennessee","2",78
"5087",69.9333333333333,"2019-01-30","alabamabirmingham","middletennessee","0",65
"4597",71.1428571428571,"2019-01-26","alabamabirmingham","rice","0",89
"4440",70.1538461538462,"2019-01-24","alabamabirmingham","northtexas","0",52
"4039",70.4166666666667,"2019-01-19","alabamabirmingham","utsa","2",83
"3664",70,"2019-01-17","alabamabirmingham","utep","2",76
"3416",69.7,"2019-01-12","alabamabirmingham","southernmiss","0",68
"3129",69,"2019-01-10","alabamabirmingham","louisianatech","0",53
"2736",68.75,"2019-01-05","alabamabirmingham","floridainternational","2",84
"2474",67.7142857142857,"2019-01-03","alabamabirmingham","floridaatlantic","2",67
"2084",66.8333333333333,"2018-12-29","alabamabirmingham","arkansasmonticello","2",75
"1739",66.8,"2018-12-21","alabamabirmingham","troy","2",73
"1465",66.5,"2018-12-18","alabamabirmingham","alcornstate","2",76
"1429",71.6666666666667,"2018-12-15","alabamabirmingham","auburn","1",71
"978",76,"2018-12-08","alabamabirmingham","memphis","0",76
"556",75,"2018-12-04","alabamabirmingham","northalabama","2",73
"97810",63.6666666666667,"2018-11-25","alabamabirmingham","canisius","1",68
"142910",63,"2018-11-23","alabamabirmingham","collegeofcharleston","1",51
"18340",75.7407407407407,"2020-02-15","pepperdine","gonzaga","2",77
"18080",75.6603773584906,"2020-02-13","pepperdine","sandiego","2",72
"17682",75.3846153846154,"2020-02-08","pepperdine","pacific","0",78
"17446",75.5098039215686,"2020-02-06","pepperdine","santaclara","2",91
"17012",75.52,"2020-02-01","pepperdine","loyolamarymount","0",68
"16327",75.3265306122449,"2020-01-30","pepperdine","byu","0",80
"16077",75.4375,"2020-01-25","pepperdine","portland","2",80
"15693",75.8510638297872,"2020-01-23","pepperdine","santaclara","0",90
"15410",76.0217391304348,"2020-01-18","pepperdine","saintmarys","2",69
"15060",76.0444444444445,"2020-01-16","pepperdine","loyolamarymount","2",75
"14858",76.0227272727273,"2020-01-11","pepperdine","sandiego","0",85
"14328",75.6511627906977,"2020-01-04","pepperdine","gonzaga","0",70
"13996",75.6190476190476,"2020-01-02","pepperdine","pacific","2",56
"13812",75.5853658536585,"2019-12-28","pepperdine","sanjosestate","0",68
"13717",75.85,"2019-12-21","pepperdine","northernarizona","2",75
"13207",75.4615384615385,"2019-12-17","pepperdine","portlandstate","2",77
"12801",75.5526315789474,"2019-12-14","pepperdine","centralarkansas","2",92
"12537",75.3243243243243,"2019-12-06","pepperdine","idahostate","2",77
"12163",75.3888888888889,"2019-12-01","pepperdine","providence","1",77
"11892",74.8571428571429,"2019-11-29","pepperdine","ucf","1",65
"11530",74.7941176470588,"2019-11-28","pepperdine","arizona","1",91
"10704",74.9090909090909,"2019-11-23","pepperdine","sacramentostate","2",72
"10555",74.9375,"2019-11-19","pepperdine","usc","0",84
"10416",74.4838709677419,"2019-11-16","pepperdine","abilenechristian","0",73
"10365",74.7,"2019-11-12","pepperdine","calstatenorthridge","0",94
"9907",75.1724137931034,"2019-11-09","pepperdine","ucirvine","2",77
"9276",75.2857142857143,"2019-11-05","pepperdine","california","0",71
"9050",74.8888888888889,"2019-03-11","pepperdine","gonzaga","1",74
"8652",75.3076923076923,"2019-03-09","pepperdine","sanfrancisco","1",89
"8415",75.72,"2019-03-08","pepperdine","loyolamarymount","1",68
"8051",75.6666666666667,"2019-03-07","pepperdine","pacific","1",61
"7746",75.9130434782609,"2019-03-02","pepperdine","pacific","2",72
"7360",76.1363636363636,"2019-02-23","pepperdine","portland","2",86
"7105",76.9523809523809,"2019-02-21","pepperdine","gonzaga","0",64
"6712",76.65,"2019-02-16","pepperdine","saintmarys","0",65
"6018",76.2631578947368,"2019-02-14","pepperdine","sanfrancisco","0",77
"5813",76.6111111111111,"2019-02-09","pepperdine","sandiego","2",70
"5466",76.6470588235294,"2019-02-07","pepperdine","santaclara","2",71
"5150",76.6875,"2019-02-02","pepperdine","pacific","0",59
"4723",77.5333333333333,"2019-01-31","pepperdine","portland","0",83
"4522",78.1428571428571,"2019-01-26","pepperdine","saintmarys","2",84
"4319",78.2307692307692,"2019-01-19","pepperdine","loyolamarymount","0",70
"3652",76.4166666666667,"2019-01-17","pepperdine","byu","2",76
"3388",77.3636363636364,"2019-01-12","pepperdine","sandiego","0",76
"3247",78.4,"2019-01-10","pepperdine","santaclara","0",64
"2855",79.4444444444444,"2019-01-05","pepperdine","sanfrancisco","2",69
"2693",80.75,"2019-01-03","pepperdine","loyolamarymount","2",77
"2455",82.1428571428571,"2018-12-31","pepperdine","alabamaam","2",100
"2332",82,"2018-12-20","pepperdine","longbeachstate","0",66
"1829",83,"2018-12-17","pepperdine","oregonstate","0",67
"1042",79.5,"2018-12-15","pepperdine","southernutah","0",69
"919",77.3333333333333,"2018-12-08","pepperdine","jacksonstate","2",69
"758",77,"2018-12-06","pepperdine","ucriverside","0",71
"545",80,"2018-12-03","pepperdine","calstatenorthridge","2",83
"75810",79.3333333333333,"2018-11-26","pepperdine","idahostate","2",97
"91910",78,"2018-11-18","pepperdine","miamioh","1",86
"18289",78.1666666666667,"2020-02-16","memphis","uconn","0",61
"17952",78.3207547169811,"2020-02-13","memphis","cincinnati","0",86
"17387",79.0576923076923,"2020-02-08","memphis","southflorida","2",73
"17137",79.4313725490196,"2020-02-05","memphis","temple","2",79
"16742",79.66,"2020-02-01","memphis","uconn","2",70
"16334",79.9183673469388,"2020-01-29","memphis","ucf","0",59
"15894",80.2916666666667,"2020-01-25","memphis","smu","2",70
"15676",80.2127659574468,"2020-01-22","memphis","tulsa","0",40
"15417",79.8478260869565,"2020-01-16","memphis","cincinnati","2",60
"14847",79.9111111111111,"2020-01-12","memphis","southflorida","0",68
"14468",80.5681818181818,"2020-01-09","memphis","wichitastate","0",67
"14108",80.9302325581395,"2020-01-04","memphis","georgia","2",62
"13702",81.1666666666667,"2019-12-30","memphis","tulane","2",84
